order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order,order_seq
3076830,3001,prior,14,6,14,30.0,1
254791,3001,prior,15,6,22,7.0,2
3412485,3001,prior,16,6,10,28.0,3
11946,3001,prior,17,6,0,14.0,4
2365160,3201,prior,8,5,13,11.0,0
1571644,3201,prior,9,3,11,30.0,1
2940009,3201,prior,10,5,13,9.0,2
1577068,3201,prior,11,2,11,4.0,3
2352392,3201,prior,12,3,8,1.0,4
3104013,3401,prior,1,5,17,,0
1251463,3401,prior,2,2,15,4.0,1
210316,3401,prior,3,0,10,26.0,2
1254720,3401,prior,4,0,10,28.0,3
403115,3601,prior,1,2,17,,0
105016,3601,prior,2,0,7,30.0,1
2854989,3601,prior,3,5,16,30.0,2
1274877,3601,prior,4,2,15,30.0,3
2954929,3801,prior,20,3,11,13.0,0
92020,3801,prior,21,0,8,18.0,1
3378379,3801,prior,22,6,13,6.0,2
1889433,3801,prior,23,0,10,8.0,3
570703,3801,prior,24,2,10,16.0,4
768271,4001,prior,18,4,11,3.0,0
3110154,4001,prior,19,5,12,8.0,1
95419,4001,prior,20,3,6,5.0,2
3129472,4001,prior,21,6,8,10.0,3
1222749,4001,prior,22,3,11,11.0,4
1277478,4201,prior,5,3,18,30.0,0
78822,4201,prior,6,3,18,14.0,1
1394893,4201,prior,7,6,14,10.0,2
1188004,4201,prior,8,4,19,12.0,3
6769,4201,prior,9,4,17,7.0,4
3056957,4401,prior,7,6,10,23.0,0
1667715,4401,prior,8,0,13,22.0,1
429956,4401,prior,9,4,7,4.0,2
395086,4401,prior,10,0,11,3.0,3
2272666,4401,prior,11,1,7,30.0,4
2314208,4601,prior,6,1,14,30.0,0
2615880,4601,prior,7,2,15,29.0,1
730285,4601,prior,8,1,20,30.0,2
1529507,4601,prior,9,5,16,30.0,3
2069811,4601,prior,10,0,13,30.0,4
1266501,4801,prior,11,0,18,30.0,0
2576550,4801,prior,12,6,18,13.0,1
3002829,4801,prior,13,1,13,23.0,2
747298,4801,prior,14,2,21,29.0,3
1297061,4801,prior,15,3,22,15.0,4
2780054,5001,prior,2,5,9,30.0,0
2330894,5001,prior,3,6,10,30.0,1
1071669,5001,prior,4,4,10,12.0,2
1121096,5001,prior,5,5,21,30.0,3
1086528,5001,prior,6,4,8,27.0,4
2674210,5201,prior,1,2,10,,0
1498631,5201,prior,2,4,8,16.0,1
650222,5201,prior,3,4,5,21.0,2
2347977,5201,prior,4,2,12,5.0,3
2360219,5201,prior,5,4,8,23.0,4
1990264,5401,prior,1,5,16,,0
843275,5401,prior,2,6,10,8.0,1
2308637,5401,prior,3,1,10,30.0,2
1451894,5601,prior,11,0,12,30.0,0
3234656,5601,prior,12,4,11,18.0,1
691587,5601,prior,13,0,17,3.0,2
3417235,5601,prior,14,3,8,10.0,3
27277,5601,prior,15,1,8,5.0,4
1113830,5801,prior,18,4,16,8.0,0
3111910,5801,prior,19,1,16,25.0,1
2669626,5801,prior,20,0,14,30.0,2
1635025,5801,prior,21,1,16,30.0,3
1801863,5801,prior,22,1,12,28.0,4
2818209,6001,prior,1,2,22,,0
1183306,6001,prior,2,0,22,30.0,1
466758,6001,prior,3,2,19,23.0,2
610299,6001,prior,4,6,23,18.0,3
2231019,6001,prior,5,2,23,30.0,4
1056347,6201,prior,1,6,8,,0
27273,6201,prior,2,5,8,6.0,1
1982152,6201,prior,3,1,11,10.0,2
1093990,6401,prior,3,5,12,10.0,0
14822,6401,prior,4,1,11,10.0,1
2255943,6401,prior,5,2,14,30.0,2
1571845,6401,prior,6,2,10,7.0,3
258801,6401,prior,7,4,15,30.0,4
2268176,6601,prior,2,4,19,30.0,0
2250905,6601,prior,3,4,17,30.0,1
3202732,6601,prior,4,0,16,30.0,2
2883585,6601,prior,5,3,16,17.0,3
924635,6601,prior,6,5,16,23.0,4
2520919,6801,prior,75,4,12,1.0,0
1367222,6801,prior,76,1,14,4.0,1
2997055,6801,prior,77,3,13,2.0,2
362246,6801,prior,78,1,11,5.0,3
653865,6801,prior,79,5,23,11.0,4
2681409,7001,prior,1,6,16,,0
3282323,7001,prior,2,0,13,30.0,1
3353135,7001,prior,3,6,15,6.0,2
2275975,7001,prior,4,0,7,30.0,3
673989,7201,prior,1,0,17,,0
3400236,7201,prior,2,0,14,7.0,1
1794953,7201,prior,3,0,16,14.0,2
1926701,7201,prior,4,0,15,14.0,3
1007561,7401,prior,3,5,20,30.0,0
2484419,7401,prior,4,5,19,14.0,1
1180066,7401,prior,5,5,19,30.0,2
2559846,7401,prior,6,5,18,14.0,3
2542879,7401,prior,7,5,18,14.0,4
35162,7601,prior,25,0,14,6.0,0
1186399,7601,prior,26,3,14,10.0,1
653069,7601,prior,27,1,15,5.0,2
3315874,7601,prior,28,2,18,15.0,3
2762608,7601,prior,29,0,18,30.0,4
333449,7801,prior,1,5,13,,0
1810723,7801,prior,2,0,16,23.0,1
2299025,7801,prior,3,5,11,12.0,2
1377292,7801,prior,4,6,10,8.0,3
3230201,7801,prior,5,3,17,30.0,4
2845427,8001,prior,18,3,17,6.0,0
3124890,8001,prior,19,3,12,21.0,1
2003421,8001,prior,20,2,11,13.0,2
2280052,8001,prior,21,6,20,30.0,3
1643122,8001,prior,22,2,7,30.0,4
2766567,8201,prior,12,5,13,18.0,0
797923,8201,prior,13,6,12,8.0,1
541444,8201,prior,14,0,10,15.0,2
383790,8201,prior,15,6,10,30.0,3
1200626,8201,prior,16,6,9,30.0,4
556639,8401,prior,1,6,15,,0
1353802,8401,prior,2,6,11,14.0,1
1771199,8401,prior,3,2,17,10.0,2
3233810,8401,prior,4,4,12,2.0,3
651865,8601,prior,59,4,9,3.0,0
2518282,8601,prior,60,0,10,3.0,1
1761488,8601,prior,61,3,8,10.0,2
1212442,8601,prior,62,5,9,2.0,3
3191400,8601,prior,63,2,10,18.0,4
924586,8801,prior,21,0,16,28.0,0
2046767,8801,prior,22,4,15,4.0,1
1648660,8801,prior,23,2,16,5.0,2
2731139,8801,prior,24,5,14,3.0,3
301699,8801,prior,25,0,14,2.0,4
1507611,9001,prior,3,2,10,4.0,0
519617,9001,prior,4,3,18,30.0,1
3256267,9001,prior,5,3,18,7.0,2
549933,9001,prior,6,6,18,24.0,3
129572,9001,prior,7,5,18,6.0,4
409341,9201,prior,1,1,17,,0
267889,9201,prior,2,1,14,14.0,1
2785824,9201,prior,3,2,13,15.0,2
542544,9201,prior,4,6,12,18.0,3
2402839,9401,prior,17,3,11,10.0,0
1629884,9401,prior,18,1,12,5.0,1
1365787,9401,prior,19,1,11,14.0,2
2441514,9401,prior,20,2,6,1.0,3
2262673,9401,prior,21,2,13,7.0,4
1557636,9601,prior,13,0,19,8.0,0
872288,9601,prior,14,1,13,8.0,1
2001427,9601,prior,15,2,20,15.0,2
189607,9601,prior,16,1,13,6.0,3
2657046,9601,prior,17,3,15,9.0,4
1143077,9801,prior,4,1,8,30.0,0
2246819,9801,prior,5,6,13,30.0,1
444318,9801,prior,6,2,14,10.0,2
1128298,9801,prior,7,0,11,5.0,3
201179,9801,prior,8,6,14,30.0,4
1634542,10001,prior,18,0,17,30.0,0
1854840,10001,prior,19,0,19,7.0,1
1855339,10001,prior,20,2,7,23.0,2
2496365,10001,prior,21,1,10,20.0,3
2230385,10001,prior,22,1,8,7.0,4
1721546,10201,prior,1,6,12,,0
2127461,10201,prior,2,4,20,30.0,1
1708700,10201,prior,3,3,11,6.0,2
2506877,10401,prior,16,4,9,13.0,0
1111081,10401,prior,17,6,14,9.0,1
693052,10401,prior,18,5,11,13.0,2
2283175,10401,prior,19,6,15,30.0,3
559440,10401,prior,20,1,11,9.0,4
1618466,10601,prior,1,3,16,,0
685328,10601,prior,2,1,8,12.0,1
1287476,10601,prior,3,3,18,30.0,2
1553431,10601,prior,4,1,8,19.0,3
767999,10601,prior,5,2,19,8.0,4
2090578,10801,prior,1,1,13,,0
651911,10801,prior,2,4,10,30.0,1
1465935,10801,prior,3,1,13,25.0,2
576503,10801,prior,4,3,22,30.0,3
3110234,11001,prior,46,2,12,5.0,0
3123191,11001,prior,47,6,12,4.0,1
1438666,11001,prior,48,5,8,6.0,2
2643366,11001,prior,49,3,9,5.0,3
2578349,11001,prior,50,5,8,9.0,4
3223368,11201,prior,3,2,10,18.0,0
330774,11201,prior,4,0,14,26.0,1
1761677,11201,prior,5,2,16,30.0,2
1131489,11201,prior,6,3,15,30.0,3
2722129,11201,prior,7,3,18,30.0,4
530560,11401,prior,1,2,15,,0
77096,11401,prior,2,5,16,3.0,1
748613,11401,prior,3,5,11,30.0,2
2251643,11401,prior,4,4,15,20.0,3
1549622,11601,prior,4,0,11,30.0,0
2709002,11601,prior,5,1,13,29.0,1
845861,11601,prior,6,6,12,12.0,2
2269556,11601,prior,7,0,13,22.0,3
2260422,11601,prior,8,5,12,19.0,4
1709761,11801,prior,2,4,17,0.0,0
2098763,11801,prior,3,1,10,30.0,1
2649509,11801,prior,4,3,15,30.0,2
134139,11801,prior,5,4,18,1.0,3
3397832,11801,prior,6,3,12,6.0,4
3229966,12001,prior,58,5,17,6.0,0
3068659,12001,prior,59,5,22,14.0,1
2744874,12001,prior,60,6,11,8.0,2
800825,12001,prior,61,6,7,7.0,3
231976,12001,prior,62,5,17,6.0,4
1724863,12201,prior,11,4,10,4.0,0
2418898,12201,prior,12,0,12,30.0,1
448249,12201,prior,13,2,14,2.0,2
666247,12201,prior,14,4,13,2.0,3
3387377,12201,prior,15,0,13,3.0,4
3159531,12401,prior,9,4,14,6.0,0
231832,12401,prior,10,5,14,8.0,1
343720,12401,prior,11,6,12,8.0,2
223765,12401,prior,12,3,15,11.0,3
443999,12401,prior,13,4,13,8.0,4
2403636,12601,prior,2,1,16,29.0,0
1622661,12601,prior,3,1,12,30.0,1
2204045,12601,prior,4,1,10,21.0,2
896044,12601,prior,5,1,10,7.0,3
904156,12601,prior,6,2,16,29.0,4
3215527,12801,prior,41,1,19,8.0,0
310169,12801,prior,42,6,22,5.0,1
1499993,12801,prior,43,0,13,15.0,2
1682753,12801,prior,44,1,16,8.0,3
1351966,12801,prior,45,3,18,9.0,4
3103895,13001,prior,1,0,15,,0
1870978,13001,prior,2,6,10,27.0,1
2236662,13001,prior,3,1,17,23.0,2
3270703,13001,prior,4,6,12,30.0,3
2660605,13201,prior,8,1,11,3.0,0
978924,13201,prior,9,1,13,30.0,1
1113670,13201,prior,10,1,16,7.0,2
1508472,13201,prior,11,4,14,17.0,3
1260713,13201,prior,12,2,12,19.0,4
1251102,13401,prior,4,6,10,11.0,0
2627501,13401,prior,5,5,23,13.0,1
984420,13401,prior,6,0,13,23.0,2
2208608,13401,prior,7,0,11,21.0,3
1128852,13401,prior,8,0,9,21.0,4
281932,13601,prior,1,1,9,,0
1677676,13601,prior,2,1,10,7.0,1
1712456,13601,prior,3,1,13,30.0,2
327028,13801,prior,24,3,16,10.0,0
157258,13801,prior,25,3,9,7.0,1
996544,13801,prior,26,2,9,6.0,2
1638710,13801,prior,27,2,11,7.0,3
1042385,13801,prior,28,5,11,30.0,4
1273084,14001,prior,1,4,19,,0
2445866,14001,prior,2,4,19,14.0,1
1851743,14001,prior,3,5,10,22.0,2
1186593,14001,prior,4,2,20,18.0,3
2195282,14201,prior,7,6,11,14.0,0
46283,14201,prior,8,4,15,12.0,1
2817510,14201,prior,9,0,10,17.0,2
2018886,14201,prior,10,1,13,22.0,3
2488435,14201,prior,11,0,14,13.0,4
3401170,14401,prior,22,6,9,21.0,0
3109384,14401,prior,23,2,18,3.0,1
318395,14401,prior,24,3,18,8.0,2
408643,14401,prior,25,6,14,10.0,3
664982,14401,prior,26,0,16,15.0,4
2560305,14601,prior,5,0,13,5.0,0
2684476,14601,prior,6,1,14,1.0,1
1127331,14601,prior,7,4,21,30.0,2
3013164,14601,prior,8,4,11,14.0,3
2785566,14601,prior,9,3,21,30.0,4
1788350,14801,prior,2,2,9,21.0,0
124458,14801,prior,3,2,16,21.0,1
880364,14801,prior,4,2,10,30.0,2
2426584,14801,prior,5,3,9,30.0,3
1472239,14801,prior,6,3,8,30.0,4
2875289,15001,prior,1,1,12,,0
662813,15001,prior,2,0,8,6.0,1
1213748,15001,prior,3,0,8,14.0,2
2923268,15201,prior,3,1,11,8.0,0
1905710,15201,prior,4,3,14,9.0,1
2190655,15201,prior,5,3,15,7.0,2
1246707,15201,prior,6,4,10,1.0,3
2415513,15201,prior,7,1,13,4.0,4
3361149,15401,prior,11,3,18,13.0,0
2400957,15401,prior,12,3,12,30.0,1
2551859,15401,prior,13,6,14,10.0,2
3248334,15401,prior,14,1,11,16.0,3
2776536,15401,prior,15,0,15,30.0,4
3364414,15601,prior,1,1,13,,0
235359,15601,prior,2,4,13,10.0,1
1082683,15601,prior,3,5,13,8.0,2
247315,15801,prior,46,3,18,2.0,0
1467292,15801,prior,47,1,8,5.0,1
525720,15801,prior,48,3,21,2.0,2
2941018,15801,prior,49,0,17,4.0,3
231697,15801,prior,50,1,12,8.0,4
1864878,16001,prior,38,1,9,8.0,0
1982718,16001,prior,39,0,17,6.0,1
1443328,16001,prior,40,1,11,8.0,2
1292024,16001,prior,41,1,12,7.0,3
2086837,16001,prior,42,1,13,7.0,4
1726203,16201,prior,1,5,14,,0
116515,16201,prior,2,5,11,30.0,1
2684364,16201,prior,3,6,10,30.0,2
1462632,16401,prior,5,2,15,11.0,0
3248984,16401,prior,6,2,14,7.0,1
2344041,16401,prior,7,4,14,9.0,2
468156,16401,prior,8,4,12,7.0,3
10405,16401,prior,9,3,10,20.0,4
2951615,16601,prior,1,6,17,,0
3117382,16601,prior,2,0,16,22.0,1
2153157,16601,prior,3,5,14,5.0,2
484298,16601,prior,4,1,12,30.0,3
3358710,16801,prior,1,3,17,,0
715297,16801,prior,2,0,17,11.0,1
2034781,16801,prior,3,1,16,15.0,2
1035467,16801,prior,4,0,19,30.0,3
280390,17001,prior,76,5,7,0.0,0
2008769,17001,prior,77,5,9,7.0,1
862778,17001,prior,78,0,8,2.0,2
2335331,17001,prior,79,3,15,3.0,3
3345747,17001,prior,80,2,15,6.0,4
1319880,17201,prior,1,3,16,,0
1369899,17201,prior,2,6,21,24.0,1
630235,17201,prior,3,4,10,12.0,2
1290362,17201,prior,4,3,15,6.0,3
477547,17201,prior,5,2,18,13.0,4
1871291,17401,prior,23,3,14,4.0,0
394691,17401,prior,24,3,4,7.0,1
274119,17401,prior,25,3,4,0.0,2
1631252,17401,prior,26,6,17,3.0,3
288169,17401,prior,27,2,15,3.0,4
502007,17601,prior,14,6,8,30.0,0
2302981,17601,prior,15,0,12,30.0,1
567275,17601,prior,16,3,12,10.0,2
3107706,17601,prior,17,6,13,3.0,3
1845712,17601,prior,18,2,5,10.0,4
1745659,17801,prior,22,3,16,8.0,0
1805286,17801,prior,23,5,15,30.0,1
1056927,17801,prior,24,1,16,17.0,2
1541026,17801,prior,25,5,12,11.0,3
1086489,17801,prior,26,3,16,12.0,4
1083912,18001,prior,1,1,9,,0
1155036,18001,prior,2,0,16,20.0,1
1270181,18001,prior,3,4,18,11.0,2
1180503,18001,prior,4,0,16,30.0,3
2244473,18201,prior,20,5,13,5.0,0
1235361,18201,prior,21,4,17,6.0,1
3005737,18201,prior,22,6,10,9.0,2
2777150,18201,prior,23,0,13,8.0,3
357593,18201,prior,24,0,15,7.0,4
2911577,18401,prior,1,2,9,,0
3130593,18401,prior,2,2,14,14.0,1
111564,18401,prior,3,1,6,30.0,2
791674,18401,prior,4,3,9,16.0,3
951647,18601,prior,21,5,14,30.0,0
723067,18601,prior,22,1,14,30.0,1
1543549,18601,prior,23,5,11,4.0,2
485394,18601,prior,24,6,20,1.0,3
457685,18601,prior,25,2,11,17.0,4
1170033,18801,prior,1,0,16,,0
2701900,18801,prior,2,1,16,15.0,1
631982,18801,prior,3,4,15,10.0,2
2403730,19001,prior,3,4,12,19.0,0
1489272,19001,prior,4,4,15,30.0,1
1950118,19001,prior,5,1,18,11.0,2
3131671,19001,prior,6,3,17,30.0,3
321683,19001,prior,7,1,13,12.0,4
2736351,19201,prior,25,3,20,11.0,0
1305513,19201,prior,26,6,9,17.0,1
1876094,19201,prior,27,1,10,9.0,2
1526195,19201,prior,28,0,20,6.0,3
840239,19201,prior,29,4,18,11.0,4
442645,19401,prior,31,1,17,4.0,0
371976,19401,prior,32,3,18,2.0,1
2215858,19401,prior,33,6,19,3.0,2
2784257,19401,prior,34,5,17,30.0,3
1748939,19401,prior,35,1,13,30.0,4
1739213,19601,prior,4,6,19,3.0,0
1266676,19601,prior,5,1,19,2.0,1
2154952,19601,prior,6,5,16,4.0,2
2737303,19601,prior,7,5,13,7.0,3
2722045,19601,prior,8,5,12,14.0,4
567385,19801,prior,15,3,12,13.0,0
181112,19801,prior,16,4,19,8.0,1
1062298,19801,prior,17,1,10,11.0,2
1093221,19801,prior,18,5,8,11.0,3
710494,19801,prior,19,1,10,3.0,4
2301676,20001,prior,95,5,12,0.0,0
1865428,20001,prior,96,1,19,3.0,1
804525,20001,prior,97,4,10,3.0,2
1088808,20001,prior,98,1,14,4.0,3
1225515,20001,prior,99,2,8,1.0,4
3126062,20201,prior,1,0,17,,0
3383945,20201,prior,2,1,10,8.0,1
2299446,20201,prior,3,5,17,4.0,2
356164,20201,prior,4,2,20,4.0,3
1762453,20201,prior,5,5,20,3.0,4
180496,20401,prior,3,0,10,14.0,0
368265,20401,prior,4,2,12,30.0,1
844461,20401,prior,5,0,11,19.0,2
2573812,20401,prior,6,1,8,29.0,3
2738398,20401,prior,7,1,8,28.0,4
1170268,20601,prior,1,4,20,,0
1494825,20601,prior,2,6,18,30.0,1
2130682,20601,prior,3,4,13,12.0,2
47585,20601,prior,4,5,18,22.0,3
882335,20601,prior,5,6,10,22.0,4
761246,20801,prior,13,3,15,7.0,0
1251528,20801,prior,14,4,12,1.0,1
2336320,20801,prior,15,4,18,7.0,2
1926180,20801,prior,16,0,18,3.0,3
3273912,20801,prior,17,0,18,21.0,4
1585383,21001,prior,1,2,8,,0
1769330,21001,prior,2,4,10,2.0,1
2341298,21001,prior,3,2,8,26.0,2
1355898,21201,prior,1,2,21,,0
1832118,21201,prior,2,2,21,0.0,1
3257491,21201,prior,3,0,0,30.0,2
1474084,21201,prior,4,6,22,13.0,3
1282193,21401,prior,2,0,10,13.0,0
2368192,21401,prior,3,3,11,30.0,1
690866,21401,prior,4,6,11,24.0,2
2626468,21401,prior,5,6,12,30.0,3
1613704,21401,prior,6,1,16,9.0,4
3085167,21601,prior,1,3,17,,0
3037869,21601,prior,2,6,12,17.0,1
1309711,21601,prior,3,6,9,14.0,2
3126819,21601,prior,4,2,16,17.0,3
2836974,21801,prior,36,5,18,16.0,0
1952212,21801,prior,37,4,22,6.0,1
52538,21801,prior,38,5,22,1.0,2
806053,21801,prior,39,6,8,1.0,3
475179,21801,prior,40,0,15,8.0,4
2811563,22001,prior,6,0,15,15.0,0
1040697,22001,prior,7,0,15,21.0,1
974700,22001,prior,8,1,9,30.0,2
977490,22001,prior,9,0,13,30.0,3
3388685,22001,prior,10,4,17,18.0,4
1564791,22201,prior,1,4,13,,0
2655630,22201,prior,2,4,9,30.0,1
2799260,22201,prior,3,0,19,30.0,2
2410597,22401,prior,25,4,14,15.0,0
1585002,22401,prior,26,4,14,21.0,1
2851,22401,prior,27,2,14,12.0,2
613730,22401,prior,28,3,10,8.0,3
828151,22401,prior,29,5,13,9.0,4
579838,22601,prior,1,1,15,,0
1034111,22601,prior,2,0,15,6.0,1
2983028,22601,prior,3,1,17,8.0,2
70794,22801,prior,33,3,17,3.0,0
183647,22801,prior,34,4,7,15.0,1
2520519,22801,prior,35,1,13,4.0,2
1515406,22801,prior,36,1,15,7.0,3
3042446,22801,prior,37,2,10,15.0,4
1086043,23001,prior,8,6,15,0.0,0
1676200,23001,prior,9,5,17,6.0,1
152123,23001,prior,10,4,6,13.0,2
2504251,23001,prior,11,1,17,4.0,3
1066618,23001,prior,12,0,17,6.0,4
1090883,23201,prior,21,1,15,8.0,0
1479650,23201,prior,22,3,8,16.0,1
3092996,23201,prior,23,1,11,26.0,2
1511982,23201,prior,24,1,15,30.0,3
2807744,23201,prior,25,4,9,17.0,4
2458441,23401,prior,21,0,17,7.0,0
1300111,23401,prior,22,0,9,7.0,1
2397889,23401,prior,23,3,16,30.0,2
1852457,23401,prior,24,6,14,10.0,3
2527265,23401,prior,25,6,20,7.0,4
2119251,23601,prior,7,2,13,7.0,0
2185332,23601,prior,8,0,14,12.0,1
1017049,23601,prior,9,0,10,7.0,2
1019343,23601,prior,10,5,10,19.0,3
2969626,23601,prior,11,1,10,30.0,4
599816,23801,prior,1,5,9,,0
798936,23801,prior,2,6,11,1.0,1
428619,23801,prior,3,4,8,5.0,2
2855157,24001,prior,13,4,16,6.0,0
1728404,24001,prior,14,0,6,17.0,1
600170,24001,prior,15,0,9,14.0,2
2073632,24001,prior,16,4,8,4.0,3
611572,24001,prior,17,5,19,8.0,4
384538,24201,prior,19,6,17,4.0,0
3157501,24201,prior,20,3,8,4.0,1
1373783,24201,prior,21,4,9,1.0,2
1224402,24201,prior,22,6,16,2.0,3
2733835,24201,prior,23,2,17,17.0,4
1076272,24401,prior,1,1,15,,0
1462262,24401,prior,2,5,15,30.0,1
1499033,24401,prior,3,4,17,13.0,2
3329312,24601,prior,1,1,15,,0
2225892,24601,prior,2,6,5,30.0,1
1559921,24601,prior,3,1,23,23.0,2
545279,24801,prior,3,3,1,20.0,0
476618,24801,prior,4,0,13,4.0,1
107685,24801,prior,5,0,16,7.0,2
1716204,24801,prior,6,3,16,10.0,3
69926,24801,prior,7,4,18,8.0,4
1195857,25001,prior,14,2,12,11.0,0
712358,25001,prior,15,6,10,11.0,1
1885672,25001,prior,16,4,16,12.0,2
2460147,25001,prior,17,3,8,27.0,3
3418413,25001,prior,18,2,11,6.0,4
2622626,25201,prior,11,1,14,5.0,0
3419080,25201,prior,12,4,14,3.0,1
894173,25201,prior,13,1,15,4.0,2
1422449,25201,prior,14,4,14,3.0,3
1883913,25201,prior,15,1,11,4.0,4
462381,25401,prior,8,4,12,5.0,0
19805,25401,prior,9,5,23,1.0,1
2331874,25401,prior,10,0,12,30.0,2
899539,25401,prior,11,3,13,17.0,3
1626490,25401,prior,12,5,8,2.0,4
2971860,25601,prior,9,6,16,7.0,0
2144478,25601,prior,10,6,11,21.0,1
2163515,25601,prior,11,0,11,15.0,2
943825,25601,prior,12,1,19,1.0,3
1852978,25601,prior,13,0,13,30.0,4
1633586,25801,prior,1,1,15,,0
107141,25801,prior,2,1,10,14.0,1
1938237,25801,prior,3,5,13,30.0,2
2388902,25801,prior,4,4,9,6.0,3
2265801,25801,prior,5,2,9,19.0,4
2367328,26001,prior,6,3,17,30.0,0
3398016,26001,prior,7,2,18,6.0,1
209158,26001,prior,8,1,11,20.0,2
1790948,26001,prior,9,5,15,30.0,3
1634549,26001,prior,10,1,21,3.0,4
3224944,26201,prior,1,1,18,,0
242937,26201,prior,2,6,8,19.0,1
1411163,26201,prior,3,3,10,30.0,2
1358209,26401,prior,1,5,9,,0
2489648,26401,prior,2,4,9,6.0,1
1865678,26401,prior,3,3,8,6.0,2
40310,26401,prior,4,2,16,6.0,3
2770592,26401,prior,5,4,10,2.0,4
1872881,26601,prior,1,0,18,,0
3061560,26601,prior,2,1,12,8.0,1
1481271,26601,prior,3,3,13,30.0,2
3123617,26601,prior,4,6,12,30.0,3
2157274,26601,prior,5,0,10,30.0,4
3282144,26801,prior,31,5,7,5.0,0
2030312,26801,prior,32,6,13,1.0,1
1542954,26801,prior,33,3,16,4.0,2
1587656,26801,prior,34,1,14,5.0,3
303753,26801,prior,35,6,10,5.0,4
795455,27001,prior,6,2,17,30.0,0
1759335,27001,prior,7,4,13,16.0,1
2048632,27001,prior,8,5,19,8.0,2
1712940,27001,prior,9,1,0,17.0,3
87487,27001,prior,10,2,15,15.0,4
1031363,27201,prior,55,5,15,11.0,0
3306187,27201,prior,56,0,13,2.0,1
2271246,27201,prior,57,4,12,4.0,2
1977853,27201,prior,58,1,15,11.0,3
429642,27201,prior,59,1,15,7.0,4
1006647,27401,prior,1,1,16,,0
899289,27401,prior,2,1,6,30.0,1
1861985,27401,prior,3,5,10,30.0,2
2720361,27401,prior,4,6,14,30.0,3
954324,27401,prior,5,3,15,30.0,4
914879,27601,prior,1,1,9,,0
1968985,27601,prior,2,5,0,30.0,1
554985,27601,prior,3,1,13,3.0,2
2155523,27801,prior,47,6,12,14.0,0
1803163,27801,prior,48,6,15,7.0,1
1915180,27801,prior,49,0,10,8.0,2
795447,27801,prior,50,0,10,7.0,3
3132429,27801,prior,51,6,15,6.0,4
240516,28001,prior,1,6,12,,0
1234405,28001,prior,2,6,15,21.0,1
